phenomenonTime,ax_m_s2,ay_m_s2,az_m_s2
2026-05-01T12:00:01.020Z,0.0611,0.0169,9.7659
2026-05-01T12:00:01.040Z,0.138,0.0723,9.7015
2026-05-01T12:00:01.060Z,0.1175,0.0936,9.7954
2026-05-01T12:00:01.080Z,0.0901,0.018,9.7113
2026-05-01T12:00:01.100Z,0.0881,-0.0688,9.7521
2026-05-01T12:00:01.120Z,0.0327,-0.0472,9.7889
2026-05-01T12:00:01.140Z,-0.0137,0.0196,9.7788
2026-05-01T12:00:01.160Z,-0.1142,0.0318,9.7815
2026-05-01T12:00:01.180Z,-0.1577,0.0741,9.7169
2026-05-01T12:00:01.200Z,-0.1075,0.0244,9.7883
2026-05-01T12:00:01.220Z,-0.1205,0.0023,9.7783
2026-05-01T12:00:01.240Z,-0.0501,-0.0497,9.8131
2026-05-01T12:00:01.260Z,0.0117,-0.0482,9.7805
2026-05-01T12:00:01.280Z,0.0903,0.0085,9.8213
2026-05-01T12:00:01.300Z,0.1323,-0.0295,9.8871
2026-05-01T12:00:01.320Z,0.1722,0.1259,9.7779
2026-05-01T12:00:01.340Z,0.1162,0.0067,9.8036
2026-05-01T12:00:01.360Z,0.1314,-0.0144,9.7469
2026-05-01T12:00:01.380Z,-0.044,-0.0596,9.7777
2026-05-01T12:00:01.400Z,-0.0114,-0.0351,9.8134
2026-05-01T12:00:01.420Z,-0.1989,-0.0189,9.7621
2026-05-01T12:00:01.440Z,-0.1321,0.0112,9.7834
2026-05-01T12:00:01.460Z,-0.1411,0.0651,9.7973
2026-05-01T12:00:01.480Z,-0.0796,0.0668,9.8302
2026-05-01T12:00:01.500Z,-0.0093,-0.005,9.8353
2026-05-01T12:00:01.520Z,0.0564,-0.0538,9.7903
2026-05-01T12:00:01.540Z,0.1359,-0.0127,9.8886
2026-05-01T12:00:01.560Z,0.1402,0.0064,9.8018
2026-05-01T12:00:01.580Z,0.1537,0.0547,9.7715
2026-05-01T12:00:01.600Z,0.1072,0.119,9.7735
2026-05-01T12:00:01.620Z,0.0292,0.0467,9.7308
2026-05-01T12:00:01.640Z,-0.0488,0.061,9.8374
2026-05-01T12:00:01.660Z,-0.1054,-0.0199,9.8408
2026-05-01T12:00:01.680Z,-0.1264,-0.0921,9.8402
2026-05-01T12:00:01.700Z,-0.1003,-0.0367,9.7752
2026-05-01T12:00:01.720Z,-0.1497,0.0674,9.8544
2026-05-01T12:00:01.740Z,-0.013,0.0755,9.8043
2026-05-01T12:00:01.760Z,0.0504,-0.0006,9.839
2026-05-01T12:00:01.780Z,0.1194,-0.0015,9.8776
2026-05-01T12:00:01.800Z,0.168,-0.0422,9.8075
2026-05-01T12:00:01.820Z,0.1234,-0.0334,9.8077
2026-05-01T12:00:01.840Z,0.0915,-0.0766,9.8509
2026-05-01T12:00:01.860Z,0.054,-0.0282,9.8165
2026-05-01T12:00:01.880Z,-0.0454,0.0061,9.8209
2026-05-01T12:00:01.900Z,-0.0201,0.0239,9.8037
2026-05-01T12:00:01.920Z,-0.137,-0.022,9.8317
2026-05-01T12:00:01.940Z,-0.1573,-0.0856,9.7864
2026-05-01T12:00:01.960Z,-0.1657,-0.0146,9.8029
2026-05-01T12:00:01.980Z,-0.015,-0.0467,9.8216
2026-05-01T12:00:02.000Z,-0.0695,-0.0086,9.8428
2026-05-01T12:00:02.020Z,0.1002,0.0547,9.8447
2026-05-01T12:00:02.040Z,0.1018,0.0513,9.7677
2026-05-01T12:00:02.060Z,0.1522,0.0017,9.7624
2026-05-01T12:00:02.080Z,0.1244,-0.0566,9.7852
2026-05-01T12:00:02.100Z,0.1281,-0.0356,9.8402
2026-05-01T12:00:02.120Z,0.0075,0.0353,9.7782
2026-05-01T12:00:02.140Z,-0.0156,0.0259,9.8436
2026-05-01T12:00:02.160Z,-0.0923,0.0118,9.7919
2026-05-01T12:00:02.180Z,-0.1731,0.0483,9.8201
2026-05-01T12:00:02.200Z,-0.1007,0.0599,9.7862
2026-05-01T12:00:02.220Z,-0.1049,-0.0435,9.8031
2026-05-01T12:00:02.240Z,-0.034,-0.0409,9.8336
2026-05-01T12:00:02.260Z,0.0672,-0.0725,9.7813
2026-05-01T12:00:02.280Z,0.0227,0.0026,9.8385
2026-05-01T12:00:02.300Z,0.0718,0.0553,9.8386
2026-05-01T12:00:02.320Z,0.0973,0.0588,9.7544
2026-05-01T12:00:02.340Z,0.0863,0.0289,9.7922
2026-05-01T12:00:02.360Z,0.0756,0.0244,9.8343
2026-05-01T12:00:02.380Z,-0.0806,-0.0773,9.8977
2026-05-01T12:00:02.400Z,-0.1259,-0.0028,9.7707
2026-05-01T12:00:02.420Z,-0.1469,-0.0574,9.7745
2026-05-01T12:00:02.440Z,-0.1448,0.001,9.8569
2026-05-01T12:00:02.460Z,-0.1754,0.0592,9.7449
2026-05-01T12:00:02.480Z,-0.061,0.0422,9.83
2026-05-01T12:00:02.500Z,0.0193,-0.0235,9.8372
2026-05-01T12:00:02.520Z,0.0602,-0.0436,9.7997
2026-05-01T12:00:02.540Z,0.12,-0.0017,9.8896
2026-05-01T12:00:02.560Z,0.1048,-0.0155,9.8449
2026-05-01T12:00:02.580Z,0.1295,0.053,9.7396
2026-05-01T12:00:02.600Z,0.0529,0.036,9.7614
2026-05-01T12:00:02.620Z,0.0082,0.0653,9.7949
2026-05-01T12:00:02.640Z,-0.0868,0.0039,9.7779
2026-05-01T12:00:02.660Z,-0.0981,-0.0557,9.8353
2026-05-01T12:00:02.680Z,-0.1851,-0.0401,9.8504
2026-05-01T12:00:02.700Z,-0.1485,-0.0643,9.7507
2026-05-01T12:00:02.720Z,-0.0741,-0.0085,9.7878
2026-05-01T12:00:02.740Z,-0.1002,0.0434,9.7707
2026-05-01T12:00:02.760Z,0.0822,0.0476,9.8166
2026-05-01T12:00:02.780Z,0.1372,0.0097,9.8347
2026-05-01T12:00:02.800Z,0.1276,-0.019,9.7902
2026-05-01T12:00:02.820Z,0.1214,-0.0581,9.7357
2026-05-01T12:00:02.840Z,0.0762,-0.0324,9.8273
2026-05-01T12:00:02.860Z,0.066,0.0038,9.8178
2026-05-01T12:00:02.880Z,-0.0352,0.0292,9.8668
2026-05-01T12:00:02.900Z,-0.0704,0.0772,9.8704
2026-05-01T12:00:02.920Z,-0.141,-0.0016,9.8346
2026-05-01T12:00:02.940Z,-0.1374,0.0097,9.7906
2026-05-01T12:00:02.960Z,-0.1045,-0.0804,9.8324
2026-05-01T12:00:02.980Z,-0.0825,-0.0789,9.8539
2026-05-01T12:00:03.000Z,-0.0173,0.1063,9.7425
2026-05-01T12:00:03.020Z,0.1062,0.058,9.8486
2026-05-01T12:00:03.040Z,0.1568,0.0367,9.8209
2026-05-01T12:00:03.060Z,0.1698,-0.0207,9.8336
2026-05-01T12:00:03.080Z,0.2016,-0.0424,9.7734
2026-05-01T12:00:03.100Z,0.035,-0.0525,9.7835
2026-05-01T12:00:03.120Z,0.0203,-0.0721,9.8174
2026-05-01T12:00:03.140Z,-0.0908,0.0043,9.7668
2026-05-01T12:00:03.160Z,-0.1396,0.0645,9.8093
2026-05-01T12:00:03.180Z,-0.1708,0.0476,9.8355
2026-05-01T12:00:03.200Z,-0.1407,0.0795,9.8025
2026-05-01T12:00:03.220Z,-0.1137,-0.0645,9.769
2026-05-01T12:00:03.240Z,-0.0513,-0.0377,9.8054
2026-05-01T12:00:03.260Z,0.0857,-0.063,9.8279
2026-05-01T12:00:03.280Z,0.0734,-0.0077,9.8324
2026-05-01T12:00:03.300Z,0.1626,-0.0221,9.7653
2026-05-01T12:00:03.320Z,0.1485,0.0644,9.868
2026-05-01T12:00:03.340Z,0.037,0.0488,9.8039
2026-05-01T12:00:03.360Z,0.0539,0.0187,9.8885
2026-05-01T12:00:03.380Z,-0.0092,-0.0694,9.7206
2026-05-01T12:00:03.400Z,-0.0587,-0.0953,9.8301
2026-05-01T12:00:03.420Z,-0.1086,-0.0045,9.7578
2026-05-01T12:00:03.440Z,-0.1374,0.0162,9.7972
2026-05-01T12:00:03.460Z,-0.1344,0.0777,9.8063
2026-05-01T12:00:03.480Z,-0.0884,-0.043,9.8545
2026-05-01T12:00:03.500Z,0.0322,0.022,9.8387
2026-05-01T12:00:03.520Z,0.0674,-0.0435,9.8258
2026-05-01T12:00:03.540Z,0.1406,-0.0649,9.8021
2026-05-01T12:00:03.560Z,0.126,-0.0571,9.7639
2026-05-01T12:00:03.580Z,0.1558,-0.0354,9.8128
2026-05-01T12:00:03.600Z,0.0636,0.0971,9.8542
2026-05-01T12:00:03.620Z,0.0813,0.0182,9.8299
2026-05-01T12:00:03.640Z,-0.0635,0.0235,9.9344
2026-05-01T12:00:03.660Z,-0.1326,0.0286,9.7925
2026-05-01T12:00:03.680Z,-0.1967,-0.0744,9.8453
2026-05-01T12:00:03.700Z,-0.1399,-0.0494,9.8402
2026-05-01T12:00:03.720Z,-0.056,-0.0091,9.7705
2026-05-01T12:00:03.740Z,-0.0001,0.0508,9.7347
2026-05-01T12:00:03.760Z,0.02,-0.0147,9.798
2026-05-01T12:00:03.780Z,0.1542,0.0256,9.7737
2026-05-01T12:00:03.800Z,0.1383,-0.058,9.8287
2026-05-01T12:00:03.820Z,0.1376,-0.0872,9.8396
2026-05-01T12:00:03.840Z,0.1973,-0.0435,9.8326
2026-05-01T12:00:03.860Z,0.0759,0.024,9.7894
2026-05-01T12:00:03.880Z,-0.0046,0.0796,9.8954
2026-05-01T12:00:03.900Z,-0.0234,0.0338,9.7048
2026-05-01T12:00:03.920Z,-0.1652,-0.0311,9.8543
2026-05-01T12:00:03.940Z,-0.1303,-0.0793,9.7781
2026-05-01T12:00:03.960Z,-0.1048,-0.0365,9.717
2026-05-01T12:00:03.980Z,-0.0814,-0.0402,9.8309
2026-05-01T12:00:04.000Z,0.0355,-0.0354,9.7695
2026-05-01T12:00:04.020Z,0.0958,0.0354,9.8225
2026-05-01T12:00:04.040Z,0.124,0.1082,9.7402
2026-05-01T12:00:04.060Z,0.1361,0.0529,9.8096
2026-05-01T12:00:04.080Z,0.1473,-0.0163,9.8511
2026-05-01T12:00:04.100Z,0.0984,-0.0864,9.8016
2026-05-01T12:00:04.120Z,0.0527,-0.0045,9.8059
2026-05-01T12:00:04.140Z,-0.0585,-0.0105,9.8396
2026-05-01T12:00:04.160Z,-0.1304,0.1036,9.7906
2026-05-01T12:00:04.180Z,-0.14,0.0492,9.8735
2026-05-01T12:00:04.200Z,-0.1481,0.084,9.8554
2026-05-01T12:00:04.220Z,-0.1022,-0.0098,9.8384
2026-05-01T12:00:04.240Z,-0.0177,-0.0371,9.8534
2026-05-01T12:00:04.260Z,0.0466,-0.061,9.8212
2026-05-01T12:00:04.280Z,0.1546,-0.0193,9.8053
2026-05-01T12:00:04.300Z,0.1879,0.0449,9.7656
2026-05-01T12:00:04.320Z,0.1232,0.0073,9.8702
2026-05-01T12:00:04.340Z,0.1128,0.0775,9.775
2026-05-01T12:00:04.360Z,0.123,-0.0387,9.858
2026-05-01T12:00:04.380Z,-0.0297,-0.0535,9.8372
2026-05-01T12:00:04.400Z,-0.0923,-0.0335,9.8251
2026-05-01T12:00:04.420Z,-0.1977,0.0045,9.8814
2026-05-01T12:00:04.440Z,-0.1092,0.0436,9.8882
2026-05-01T12:00:04.460Z,-0.1014,0.063,9.7719
2026-05-01T12:00:04.480Z,-0.0826,0.0147,9.811
2026-05-01T12:00:04.500Z,0.0047,-0.019,9.8427
2026-05-01T12:00:04.520Z,0.0914,-0.0475,9.9224
2026-05-01T12:00:04.540Z,0.1303,-0.087,9.9121
2026-05-01T12:00:04.560Z,0.13,-0.0124,9.9578
2026-05-01T12:00:04.580Z,0.1335,-0.0269,9.9343
2026-05-01T12:00:04.600Z,0.0468,0.019,9.9782
2026-05-01T12:00:04.620Z,0.0042,0.025,9.9834
2026-05-01T12:00:04.640Z,-0.037,0.0355,9.9891
2026-05-01T12:00:04.660Z,-0.1028,-0.0464,10.1035
2026-05-01T12:00:04.680Z,-0.1229,-0.0474,10.1309
2026-05-01T12:00:04.700Z,-0.1315,-0.0402,10.164
2026-05-01T12:00:04.720Z,-0.0942,-0.0569,10.1182
2026-05-01T12:00:04.740Z,-0.0363,0.0855,10.3318
2026-05-01T12:00:04.760Z,0.036,0.0602,10.3246
2026-05-01T12:00:04.780Z,0.107,0.0045,10.3964
2026-05-01T12:00:04.800Z,0.1493,-0.047,10.4503
2026-05-01T12:00:04.820Z,0.1432,-0.0189,10.6008
2026-05-01T12:00:04.840Z,0.1027,-0.0749,10.6859
2026-05-01T12:00:04.860Z,0.0383,-0.0196,10.7182
2026-05-01T12:00:04.880Z,-0.0238,0.0498,10.837
2026-05-01T12:00:04.900Z,-0.0741,0.0301,10.9929
2026-05-01T12:00:04.920Z,-0.1296,0.0515,11.0424
2026-05-01T12:00:04.940Z,-0.1537,0.0405,11.2219
2026-05-01T12:00:04.960Z,-0.0911,-0.0134,11.2854
2026-05-01T12:00:04.980Z,-0.0752,-0.0456,11.4098
2026-05-01T12:00:05.000Z,-0.014,0.0046,11.5301
2026-05-01T12:00:05.020Z,0.0418,0.0478,11.612
2026-05-01T12:00:05.040Z,0.1422,0.0488,11.7163
2026-05-01T12:00:05.060Z,0.1939,0.018,11.7373
2026-05-01T12:00:05.080Z,0.1304,-0.0247,11.8683
2026-05-01T12:00:05.100Z,0.0857,-0.0342,11.9283
2026-05-01T12:00:05.120Z,0.0417,-0.0303,11.9681
2026-05-01T12:00:05.140Z,-0.0541,-0.0053,12.0336
2026-05-01T12:00:05.160Z,-0.119,0.1025,12.0481
2026-05-01T12:00:05.180Z,-0.1455,0.0795,12.1773
2026-05-01T12:00:05.200Z,-0.1205,0.0146,12.1857
2026-05-01T12:00:05.220Z,-0.1241,-0.013,12.1209
2026-05-01T12:00:05.240Z,0.0035,-0.0961,12.1408
2026-05-01T12:00:05.260Z,0.0127,-0.0378,12.0468
2026-05-01T12:00:05.280Z,0.0869,-0.0035,12.0924
2026-05-01T12:00:05.300Z,0.1943,0.0468,11.878
2026-05-01T12:00:05.320Z,0.1111,0.0641,11.8178
2026-05-01T12:00:05.340Z,0.1365,0.0136,11.8017
2026-05-01T12:00:05.360Z,0.0307,-0.0241,11.6126
2026-05-01T12:00:05.380Z,-0.0756,-0.0449,11.5801
2026-05-01T12:00:05.400Z,-0.085,-0.0677,11.5273
2026-05-01T12:00:05.420Z,-0.1609,-0.0335,11.4211
2026-05-01T12:00:05.440Z,-0.1236,0.0406,11.3289
2026-05-01T12:00:05.460Z,-0.1817,0.0789,11.2228
2026-05-01T12:00:05.480Z,-0.048,0.0009,11.106
2026-05-01T12:00:05.500Z,0.0329,0.0369,10.91
2026-05-01T12:00:05.520Z,0.1049,-0.0543,10.911
2026-05-01T12:00:05.540Z,0.1081,-0.0572,10.7886
2026-05-01T12:00:05.560Z,0.1523,-0.0394,10.6407
2026-05-01T12:00:05.580Z,0.0909,0.057,10.583
2026-05-01T12:00:05.600Z,0.1021,0.0793,10.4151
2026-05-01T12:00:05.620Z,0.016,0.0493,10.4264
2026-05-01T12:00:05.640Z,-0.0289,-0.0001,10.2535
2026-05-01T12:00:05.660Z,-0.0913,-0.076,10.2061
2026-05-01T12:00:05.680Z,-0.1296,-0.1046,10.1858
2026-05-01T12:00:05.700Z,-0.1231,-0.0395,10.1016
2026-05-01T12:00:05.720Z,-0.0656,0.0439,10.1886
2026-05-01T12:00:05.740Z,-0.0611,0.0816,10.0563
2026-05-01T12:00:05.760Z,0.0368,0.0166,9.9944
2026-05-01T12:00:05.780Z,0.1504,0.0606,9.922
2026-05-01T12:00:05.800Z,0.0826,-0.0269,9.9878
2026-05-01T12:00:05.820Z,0.1239,-0.0417,9.8861
2026-05-01T12:00:05.840Z,0.0947,-0.0539,9.8777
2026-05-01T12:00:05.860Z,0.0604,-0.0572,9.8641
2026-05-01T12:00:05.880Z,-0.0217,0.0567,9.8863
2026-05-01T12:00:05.900Z,-0.0951,0.0796,9.8379
2026-05-01T12:00:05.920Z,-0.1427,-0.0479,9.9062
2026-05-01T12:00:05.940Z,-0.1526,-0.0021,9.8009
2026-05-01T12:00:05.960Z,-0.1281,-0.041,9.8397
2026-05-01T12:00:05.980Z,-0.0634,-0.0662,9.7981
2026-05-01T12:00:06.000Z,0.0057,0.0229,9.8273
2026-05-01T12:00:06.020Z,0.0948,0.0668,9.7622
2026-05-01T12:00:06.040Z,0.1193,0.064,9.8339
2026-05-01T12:00:06.060Z,0.1631,0.0403,9.821
2026-05-01T12:00:06.080Z,0.1369,-0.061,9.7677
2026-05-01T12:00:06.100Z,0.0746,-0.0393,9.8416
2026-05-01T12:00:06.120Z,0.0171,-0.0914,9.8545
2026-05-01T12:00:06.140Z,-0.0847,-0.0157,9.8291
2026-05-01T12:00:06.160Z,-0.1148,0.0395,9.7767
2026-05-01T12:00:06.180Z,-0.1494,0.0767,9.8196
2026-05-01T12:00:06.200Z,-0.1323,0.0471,9.8695
2026-05-01T12:00:06.220Z,-0.1377,-0.0304,9.848
2026-05-01T12:00:06.240Z,0.0033,-0.019,9.8776
2026-05-01T12:00:06.260Z,0.0535,-0.0981,9.8281
2026-05-01T12:00:06.280Z,0.0938,-0.0611,9.783
2026-05-01T12:00:06.300Z,0.1185,0.046,9.8297
2026-05-01T12:00:06.320Z,0.1279,0.0735,9.7848
2026-05-01T12:00:06.340Z,0.1095,0.0654,9.7747
2026-05-01T12:00:06.360Z,0.1069,-0.07,9.803
2026-05-01T12:00:06.380Z,-0.0298,-0.083,9.8072
2026-05-01T12:00:06.400Z,-0.0691,-0.0358,9.8534
2026-05-01T12:00:06.420Z,-0.1477,0.0182,9.7603
2026-05-01T12:00:06.440Z,-0.1562,-0.0364,9.8071
2026-05-01T12:00:06.460Z,-0.1357,0.0664,9.8061
2026-05-01T12:00:06.480Z,-0.1099,0.0948,9.7893
2026-05-01T12:00:06.500Z,-0.0143,-0.0573,9.7286
2026-05-01T12:00:06.520Z,0.0761,-0.0944,9.9235
2026-05-01T12:00:06.540Z,0.1632,-0.0649,9.8481
2026-05-01T12:00:06.560Z,0.103,0.0028,9.8131
2026-05-01T12:00:06.580Z,0.1642,-0.0286,9.814
2026-05-01T12:00:06.600Z,0.0716,0.0352,9.8604
2026-05-01T12:00:06.620Z,0.0233,0.0258,9.7987
2026-05-01T12:00:06.640Z,-0.041,0.0136,9.8104
2026-05-01T12:00:06.660Z,-0.107,-0.0156,9.7771
2026-05-01T12:00:06.680Z,-0.1524,-0.0907,9.7855
2026-05-01T12:00:06.700Z,-0.1081,-0.0567,9.8529
2026-05-01T12:00:06.720Z,-0.1024,0.0164,9.7173
2026-05-01T12:00:06.740Z,-0.0241,0.0042,9.8207
2026-05-01T12:00:06.760Z,0.027,0.0586,9.766
2026-05-01T12:00:06.780Z,0.1075,0.0036,9.7388
2026-05-01T12:00:06.800Z,0.0874,0.0056,9.8794
2026-05-01T12:00:06.820Z,0.1877,-0.0535,9.8005
2026-05-01T12:00:06.840Z,0.1127,-0.0603,9.8543
2026-05-01T12:00:06.860Z,0.064,-0.0237,9.8624
2026-05-01T12:00:06.880Z,0.0347,0.0706,9.8875
2026-05-01T12:00:06.900Z,-0.1074,0.0717,9.8026
2026-05-01T12:00:06.920Z,-0.1589,-0.0311,9.8076
2026-05-01T12:00:06.940Z,-0.069,-0.0437,9.8187
2026-05-01T12:00:06.960Z,-0.1946,-0.0221,9.7993
2026-05-01T12:00:06.980Z,-0.0332,-0.0209,9.7919
2026-05-01T12:00:07.000Z,-0.0303,-0.0149,9.8277
2026-05-01T12:00:07.020Z,0.1279,0.0697,9.8111
2026-05-01T12:00:07.040Z,0.133,0.0641,9.8142
2026-05-01T12:00:07.060Z,0.1383,0.0729,9.8725
2026-05-01T12:00:07.080Z,0.1459,0.0116,9.7969
2026-05-01T12:00:07.100Z,0.1201,-0.0593,9.7782
2026-05-01T12:00:07.120Z,0.0324,-0.059,9.8358
2026-05-01T12:00:07.140Z,-0.0506,-0.0181,9.7737
2026-05-01T12:00:07.160Z,-0.123,0.0698,9.7591
2026-05-01T12:00:07.180Z,-0.1222,0.0532,9.8259
2026-05-01T12:00:07.200Z,-0.1303,0.0415,9.8448
2026-05-01T12:00:07.220Z,-0.1019,-0.0129,9.8704
2026-05-01T12:00:07.240Z,-0.0329,-0.0608,9.7914
2026-05-01T12:00:07.260Z,0.0549,-0.0546,9.861
2026-05-01T12:00:07.280Z,0.1311,-0.0499,9.8477
2026-05-01T12:00:07.300Z,0.1244,0.0489,9.8366
2026-05-01T12:00:07.320Z,0.1914,0.0773,9.8219
2026-05-01T12:00:07.340Z,0.1063,0.0425,9.795
2026-05-01T12:00:07.360Z,-0.0281,-0.0195,9.7547
2026-05-01T12:00:07.380Z,0.0125,-0.0528,9.829
2026-05-01T12:00:07.400Z,-0.1022,-0.0583,9.8085
2026-05-01T12:00:07.420Z,-0.1302,-0.0423,9.7508
2026-05-01T12:00:07.440Z,-0.1812,0.0415,9.8109
2026-05-01T12:00:07.460Z,-0.1345,0.0559,9.8356
2026-05-01T12:00:07.480Z,-0.0483,-0.0109,9.8274
2026-05-01T12:00:07.500Z,-0.0329,0.0586,9.7864
2026-05-01T12:00:07.520Z,0.0874,-0.074,9.8531
2026-05-01T12:00:07.540Z,0.1394,0.0045,9.7423
2026-05-01T12:00:07.560Z,0.1067,-0.0608,9.8032
2026-05-01T12:00:07.580Z,0.1435,0.039,9.8928
2026-05-01T12:00:07.600Z,0.0543,0.0659,9.877
2026-05-01T12:00:07.620Z,0.0289,0.0621,9.7496
2026-05-01T12:00:07.640Z,-0.1072,0.0328,9.8212
2026-05-01T12:00:07.660Z,-0.0539,-0.0539,9.8122
2026-05-01T12:00:07.680Z,-0.1344,-0.0202,9.7763
2026-05-01T12:00:07.700Z,-0.1531,-0.03,9.8041
2026-05-01T12:00:07.720Z,-0.0824,-0.0003,9.8178
2026-05-01T12:00:07.740Z,-0.024,0.0869,9.8494
2026-05-01T12:00:07.760Z,0.0211,0.0689,9.7687
2026-05-01T12:00:07.780Z,0.0948,0.0299,9.7827
2026-05-01T12:00:07.800Z,0.1708,-0.0266,9.8031
2026-05-01T12:00:07.820Z,0.1154,-0.0967,9.809
2026-05-01T12:00:07.840Z,0.1276,-0.0687,9.8745
2026-05-01T12:00:07.860Z,0.0371,-0.0091,9.7876
2026-05-01T12:00:07.880Z,0.003,0.0749,9.8464
2026-05-01T12:00:07.900Z,-0.0639,0.1093,9.8245
2026-05-01T12:00:07.920Z,-0.1344,0.0613,9.8373
2026-05-01T12:00:07.940Z,-0.1629,0.0128,9.8059
2026-05-01T12:00:07.960Z,-0.0543,-0.0587,9.7785
2026-05-01T12:00:07.980Z,-0.1037,-0.0573,9.8032
2026-05-01T12:00:08.000Z,-0.0083,-0.0132,9.8025
2026-05-01T12:00:08.020Z,0.0305,0.0588,9.8296
2026-05-01T12:00:08.040Z,0.0997,0.0058,9.8001
2026-05-01T12:00:08.060Z,0.1091,0.068,9.8681
2026-05-01T12:00:08.080Z,0.1458,0.0045,9.7461
2026-05-01T12:00:08.100Z,0.1274,-0.0403,9.7885
2026-05-01T12:00:08.120Z,0.0142,-0.1003,9.7663
2026-05-01T12:00:08.140Z,-0.0452,-0.0462,9.8369
2026-05-01T12:00:08.160Z,-0.0823,0.0217,9.8087
2026-05-01T12:00:08.180Z,-0.1153,0.081,9.7909
2026-05-01T12:00:08.200Z,-0.1805,0.0738,9.8632
2026-05-01T12:00:08.220Z,-0.0601,-0.0809,9.8804
2026-05-01T12:00:08.240Z,0.0024,-0.0438,9.8358
2026-05-01T12:00:08.260Z,0.0077,-0.0313,9.7734
2026-05-01T12:00:08.280Z,0.1401,-0.0211,9.7449
2026-05-01T12:00:08.300Z,0.1142,0.0655,9.7704
2026-05-01T12:00:08.320Z,0.1767,0.0782,9.8164
2026-05-01T12:00:08.340Z,0.0674,0.0518,9.7642
2026-05-01T12:00:08.360Z,0.099,-0.0346,9.756
2026-05-01T12:00:08.380Z,-0.0333,-0.0398,9.8057
2026-05-01T12:00:08.400Z,-0.0478,-0.0749,9.8594
2026-05-01T12:00:08.420Z,-0.1596,-0.0103,9.8088
2026-05-01T12:00:08.440Z,-0.1655,0.0589,9.7532
2026-05-01T12:00:08.460Z,-0.1459,0.0787,9.7815
2026-05-01T12:00:08.480Z,-0.0496,0.0443,9.8399
2026-05-01T12:00:08.500Z,-0.0282,-0.0263,9.839
